#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
5872,Helgason,,Venezia,26,C,C/T,0,0,0,2,3,,
5725,Kone B.,,Frosinone,26,C,C,0,0,0,2,1,,
5485,Bjarkason,*,Venezia,26,C,E/W,0,0,0,2,1,,
526,Duncan,,Venezia,33,C,C,0,0,0,2,2,,
7573,Cinquegrano,,Sassuolo,22,D,Dd/E,1,5.5,6,2,1,,
7525,Diawara S.,,Milan,20,D,Ds/Dc,0,0,0,2,2,,
7476,Bakoune,,Monza,20,D,Dd/E,1,6,5.5,2,1,,
7413,Puczka,,Genoa,21,D,Ds/E,0,0,0,2,2,,
7356,Mlacic,,Udinese,19,D,Dc,0,0,0,2,1,,
7125,Idrissi R.,,Cagliari,21,D,Ds/E,0,0,0,2,3,,
6883,Jean,,Lecce,26,D,Dc,0,0,0,2,2,,
6809,Marianucci,,Napoli,22,D,Dc,0,0,0,2,1,,
6681,Sagrado,,Venezia,22,D,Dd/E,0,0,0,2,2,,
6149,Carboni F.,,Parma,23,D,Ds/E,0,0,0,2,1,,
6039,Cabal,,Juventus,25,D,B/Ds/E,0,0,0,2,1,,
5812,Terracciano F.,,Milan,23,D,B/Dd/Ds,0,0,0,2,2,,
5481,Mazzocchi,,Napoli,31,D,Dd/Ds/E,0,0,0,2,1,,
487,De Silvestri,,Bologna,38,D,Dd/E,0,0,0,2,1,,
294,Rugani,,Juventus,32,D,Dc,0,0,0,2,1,,
7463,Desplanches,,Frosinone,23,P,Por,0,0,0,2,2,,
7568,De Martis,,Parma,18,A,Pc,0,0,0,1,1,,
7482,Lauberbach,,Venezia,28,A,Pc,0,0,0,1,1,,
7408,Lisman,,Venezia,20,A,W/A,0,0,0,1,1,,
7338,Albarracin,*,Cagliari,21,A,A,0,0,0,1,1,,
7317,Trepy,,Cagliari,20,A,Pc,0,0,0,1,1,,
7158,Moro L.,*,Sassuolo,25,A,Pc,0,0,0,1,1,,
7027,Azon,,Como,24,A,Pc,0,0,0,1,1,,
7572,Comotto,,Milan,18,C,M/C,0,0,0,1,1,,
7571,Laerke,,Lecce,19,C,W/A,0,0,0,1,1,,
7481,Dagasso,,Venezia,22,C,C,1,5,5.5,1,1,,
7456,El Azzouzi A.,,Frosinone,25,C,M/C,0,0,0,1,1,,
7357,Lahdo,,Como,19,C,C/T,0,0,0,1,1,,
7319,Fofana Sa.,,Lecce,23,C,M/C,0,0,0,1,1,,
7165,Liteta,,Cagliari,20,C,M/C,0,0,0,1,1,,
7157,Iannoni,,Sassuolo,25,C,M/C,0,0,0,1,1,,
6592,Forson O.,,Monza,22,C,W/T,1,6,6,1,1,,
6410,Kaba,,Lecce,25,C,M/C,0,0,0,1,1,,
7553,Omar Fayed,,Frosinone,23,D,Dc,0,0,0,1,1,,
7471,Corrado,,Frosinone,26,D,Ds/E,0,0,0,1,1,,
7470,Oyono J.,,Frosinone,25,D,Dd/E,0,0,0,1,1,,
7468,Gelli J.,*,Frosinone,25,D,Dc,0,0,0,1,1,,
7454,Gomes,,Venezia,18,D,Ds/Dc,0,0,0,1,1,,
7346,Raterink,*,Cagliari,20,D,Dd/E,0,0,0,1,1,,
7260,Ziolkowski,,Roma,21,D,Dc,0,0,0,1,1,,
7164,Perez M.,*,Lecce,21,D,Dd/Dc,0,0,0,1,1,,
7156,Pieragnolo,,Sassuolo,23,D,Ds/E,0,0,0,1,1,,
6245,Vogliacco,*,Genoa,28,D,Dd/Dc,0,0,0,1,1,,
6244,Matturro,,Genoa,22,D,Ds/Dc,0,0,0,1,1,,
6189,Missori,,Sassuolo,22,D,Dd/E,0,0,0,1,1,,
5424,Amey,,Frosinone,21,D,Dc,0,0,0,1,1,,
5399,Antov,,Monza,26,D,Dc,0,0,0,1,1,,
418,Goldaniga,,Como,33,D,Dc,0,0,0,1,1,,
327,Patric,,Lazio,33,D,Dd/Dc,0,0,0,1,1,,
7560,Pisseri,,Frosinone,35,P,Por,0,0,0,1,1,,
7557,Penev,,Lecce,18,P,Por,0,0,0,1,1,,
7545,Vismara,,Atalanta,23,P,Por,0,0,0,1,1,,
7534,Renzetti,,Lazio,20,P,Por,0,0,0,1,1,,
7533,Happonen,,Bologna,19,P,Por,0,0,0,1,1,,
7531,Pozzi,,Venezia,26,P,Por,0,0,0,1,1,,
7475,Strajnar,,Monza,19,P,Por,0,0,0,1,1,,
7466,Lolic,,Frosinone,22,P,Por,0,0,0,1,1,,
7363,Siviero,,Torino,20,P,Por,0,0,0,1,1,,
7337,Motta,,Lazio,21,P,Por,0,0,0,1,1,,
7301,Tornqvist,,Como,24,P,Por,0,0,0,1,1,,
7172,Pessina Mas.,,Bologna,19,P,Por,0,0,0,1,1,,
7048,De Marzi,,Roma,19,P,Por,0,0,0,1,1,,
6813,Torriani,,Milan,21,P,Por,0,0,0,1,1,,
6682,Pizzignacco,,Monza,25,P,Por,1,5,5,1,1,,
6671,Grandi,,Venezia,34,P,Por,0,0,0,1,1,,
6650,Sherri,,Cagliari,29,P,Por,0,0,0,1,1,,
6569,Stolz,,Genoa,25,P,Por,0,0,0,1,1,,
6523,Samooja,*,Lecce,23,P,Por,0,0,0,1,1,,
6403,Christensen O.,,Fiorentina,27,P,Por,0,0,0,1,1,,
5707,Piana,,Udinese,23,P,Por,0,0,0,1,1,,
5320,Paleari,,Torino,34,P,Por,0,0,0,1,1,,
4957,Montipò,,Venezia,30,P,Por,0,0,0,1,1,,
4929,Ciocci,*,Cagliari,24,P,Por,0,0,0,1,1,,
4867,Turati,,Sassuolo,25,P,Por,0,0,0,1,1,,
4518,Russo A.,,Sassuolo,25,P,Por,0,0,0,1,1,,
4468,Bleve,,Lecce,31,P,Por,0,0,0,1,1,,
2845,Contini,,Napoli,30,P,Por,0,0,0,1,1,,
2815,Terracciano,,Milan,36,P,Por,0,0,0,1,1,,
2809,Vigorito,,Como,36,P,Por,0,0,0,1,1,,
2401,Fruchtl,*,Lecce,26,P,Por,0,0,0,1,1,,
2297,Rossi F.,*,Atalanta,35,P,Por,0,0,0,1,1,,
2127,Satalino,,Sassuolo,27,P,Por,0,0,0,1,1,,
1930,Pinsoglio,,Juventus,36,P,Por,0,0,0,1,1,,
1926,Di Gennaro,,Inter,33,P,Por,0,0,0,1,1,,
610,Gollini,,Roma,31,P,Por,0,0,0,1,1,,
543,Padelli,,Udinese,41,P,Por,0,0,0,1,1,,
219,Sommariva,,Genoa,29,P,Por,0,0,0,1,1,,
158,Lezzerini,,Fiorentina,31,P,Por,0,0,0,1,1,,
4,Sportiello,,Atalanta,34,P,Por,0,0,0,1,1,,
3,Radunovic,,Cagliari,30,P,Por,0,0,0,1,1,,
